Section Order,Item Order,Section,Sub Section,Today's Highlights, Item,,,Option,Published,Price,Description,Contains Gluten,Contains Soy,Contains Dairy,Contains Nuts,Ingredients
,,Daily Menu,Date,,11/24/2012,,,,Yes,,,,,,,
,,Daily Menu,Tag Line,,This menu features the great taste of fall,,,,Yes,,,,,,,
,,Main Features,,Yes,Chef’s Special: Vegan Lasagna,,,,Yes,11,,,,,,
,,Main Features,,Yes,Daily Homemade Soup: Butternut Coconut,,,Cup,Yes,3,,,,,,
,,Main Features,,Yes,Daily Homemade Soup: Butternut Coconut,,,Bowl (Comes with fresh roll),Yes,6,,,,,,
,,Main Features,,,Gourmet Veggie Burger,,,With 1 Farm Fresh Item,Yes,9.5,,,,,,
,,Main Features,,,Gourmet Veggie Burger,,,With 2 Farm Fresh Items,Yes,11,,,,,,
,,Farm Fresh Bar,,,A La Carte,,,,Yes,3,,,,,,
,,Farm Fresh Bar,,,Choose 3,,,,Yes,8,,,,,,
,,Farm Fresh Bar,,,Choose 4,,,,Yes,10,,,,,,
,,Farm Fresh Bar,,,Choose 5,,,,Yes,12,,,,,,
,,Farm Fresh Bar,,,Sampler Plate (Fill your plate with a little of everything),,,,Yes,12.5,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Farm Fresh Bar,Hot Items,Yes,Cup of Soup: Butternut Coconut,,,,Yes,3,"Rich and comforting, just like you remember.",Yes,Yes,,,
,,Farm Fresh Bar,Hot Items,Yes,Bean of the Day: Red Kidney Beans w/Onion,,,,Yes,3,,Yes,Yes,,,
,,Farm Fresh Bar,Hot Items,,Sesame Baked Tofu,,,,Yes,3,,,,,,
,,Farm Fresh Bar,Hot Items,,Brown Rive or Quinoa,,,,Yes,3,,,,,,
,,Farm Fresh Bar,Hot Items,,Kale with Sesame Dressing,,,,Yes,3,,,,,,
,,Farm Fresh Bar,Hot Items,Yes,Vegetables of the Day: Baked Root Vegetables,,,,Yes,3,,,,,,
,,Farm Fresh Bar,Cold Items,,Broccoli Edamame Salad,,,,Yes,3,,,,,,
,,Farm Fresh Bar,Cold Items,,Slaw Salad,,,,Yes,3,,,,,,
,,Farm Fresh Bar,Cold Items,,Tofu Bok Choy Salad,,,,Yes,3,,,,,,
,,Farm Fresh Bar,Cold Items,,Kale Current Salad,,,,Yes,3,,,,,,
,,Farm Fresh Bar,Cold Items,,Mixed Green Salad,,,,Yes,3,Crispy baked tofu triangles marinated in a mild sauce and coated with toasted sesame seeds.,,Yes,,,
,,Farm Fresh Bar,Cold Items,,Mozzarella Salad (add $1),,,,Yes,4,,,,,,
,,Farm Fresh Bar,Cold Items,,Hummus:(Selection of fresh dipping veggies & chips provided),,,,Yes,3,,,,,,
,,,,,,,,,,,,,,,,
,,Kids Meals,,,Kids 3 Side Sampler (Choose any 3 from our Farm Fresh Bar),,,,Yes,5.25,,,,,,
,,Kids Meals,,,*Beans & Rice ,,,,Yes,4.25,,,,,,
,,Kids Meals,,,*Hummus Sandwich ,,,,Yes,4.25,,,,,,
,,Kids Meals,,,"*Classic ""PB&J"" Sandwich made with Sunflower Butter",,,,Yes,4.25,,,,,,
,,Kids Meals,,,*Grilled Cheese ,,,,Yes,4.25,,,,,,
,,Drinks,,,Kombucha ON TAP ,,,,Yes,3.75,,,,,,
,,Drinks,,,Oogave Soda Fountain ,,,,Yes,3,,,,,,
,,Drinks,,,Iced Tea ,,,,Yes,2.25,,,,,,
,,Drinks,,,Fruit Tea,,,,Yes,2.75,,,,,,
,,Drinks,,,Reeds Ginger Ale,,,,Yes,2.5,,,,,,
,,Drinks,,,Bottled Water ,,,,Yes,1.75,,,,,,
,,Drinks,,,Perrier,,,,Yes,2.5,,,,,,
,,Drinks,,,Coconut Water ,,,,Yes,3,,,,,,
,,Drinks,,,Kids Milk or Juice Box,,,,Yes,1.5,,,,,,
,,Drinks,,,Hot Tea ,,,,Yes,1.5,,,,,,
,,Desserts,,,Fruit cup,,,,Yes,3,,,,,,
,,Desserts,,,Sunflower Rice Crispy Treats,,,Snack Size,Yes,2.5,,,,,,
,,Desserts,,,Sunflower Rice Crispy Treats,,,Family Pack,Yes,8,,,,,,
,,Desserts,,,Chocolate Chip Cookie ,,,,Yes,2.5,,,,,,
,,Desserts,,,Brownie,,,,Yes,3,,,,,,
,,Desserts,,,Sunflower Cookie ,,,Plain ,Yes,1,,,,,,
,,Desserts,,,Sunflower Cookie ,,,Frosted,Yes,1.5,,,,,,
,,Desserts,,,Chocolate Mousse,,,,Yes,3.5,,,,,,
,,Desserts,,Yes,Specialty Pudding: Banana Orzo Pudding,,,,Yes,3.5,,,,,,
,,Desserts,,,Homemade Granola,,,Bag,Yes,3,,,,,,
,,Desserts,,,Homemade Granola,,,Jar,Yes,5,,,,,,
,,Desserts,,,Homemade Popsicles,,,,Yes,3,,,,,,
,,Desserts,,,Specialty Chips,,,,Yes,2,,,,,,
,,Other,,,Organic Dairy or Vegan Cheese,,,,Yes,2,,,,,,
,,Other,,,Roll,,,,Yes,1,,,,,,
,,Other,,,Homemade Sauce,,,,Yes,0.75,,,,,,
,,Other,,,Kimchi (When available),,,,Yes,2,,,,,,
