Section,Sub Section, Entry, Item,Option,Trailer,Section Order,Item Order,Published,Highlight,Price,Description,Contains Gluten,Contains Soy,Contains Dairy,Contains Nuts,Ingredients
,,,,,,,,,,,,,,,,
Daily Menu,Date,4/9/2013,,,,,,Yes,,,,,,,,
Daily Menu,Tag Line,Happy Valentine's Day,,,,,,No,,,,,,,,
,,,,,,,,,,,,,,,,
Main Features,,Chef`s Special,Hungarian Stuffed Cabbage,,,,,Yes,Yes,11,,,,,,
Main Features,,Chef`s Special #2,Seitan Stroganoff,,,,,No,Yes,11,,,,,,
Main Features,,Chef`s Special #3,Lasagna w/Gluten Free Option,,,,,No,Yes,11,,,,,,
Main Features,,Soup Special,French Lentil Soup,Cup,,,,No,Yes,3,,,,,,
Main Features,,Soup Special,French Lentil Soup,Bowl (Comes with fresh roll),,,,No,Yes,6,,,,,,
Main Features,,Daily Homemade Soup,Roasted Red Pepper and Tomato,Cup,,,,Yes,Yes,3,,,,,,
Main Features,,Daily Homemade Soup,Roasted Red Pepper and Tomato,Bowl (Comes with fresh roll),,,,Yes,Yes,6,,,,,,
Main Features,,Gourmet Veggie Burger,,With 1 Farm Fresh Item,,,,Yes,,9.5,,,,,,
Main Features,,Gourmet Veggie Burger,,With 2 Farm Fresh Items,,,,Yes,,11,,,,,,
,,,,,,,,,,,,,,,,
Farm Fresh Bar,Tag Line,Mix and match any way you please!,,,,,,Yes,,,,,,,,
Farm Fresh Bar,Pricing,A La Carte,,,,,,Yes,,3,Choose any one item as A La Carte,,,,,
Farm Fresh Bar,Pricing,Choose 3,,,,,,Yes,,8,Choose any three items,,,,,
Farm Fresh Bar,Pricing,Choose 4,,,,,,Yes,,10,Choose any four items,,,,,
Farm Fresh Bar,Pricing,Choose 5,,,,,,Yes,,12,Choose any five items,,,,,
Farm Fresh Bar,Pricing,Sampler Plate (Fill your plate with a little of everything),,,,,,Yes,,12.5,Fill your plate by choosing a little of everything.  Don't miss a thing!,,,,,
,,,,,,,,,,,,,,,,
Farm Fresh Bar,Hot Items,Mashed Potatoes & Gravy,,,,,,No,,3,,,,,,
Farm Fresh Bar,Hot Items,Cup of Soup,French Lentil Soup,,,,,No,,3,,,,,,
Farm Fresh Bar,Hot Items,Cup of Soup,Roasted Red Pepper and Tomato,,,,,Yes,,3,,,,,,
Farm Fresh Bar,Hot Items,Bean of the Day,Baked White Bean,,,,,Yes,Yes,3,,,,,,
Farm Fresh Bar,Hot Items,Thai Ginger Tofu,,,,,,Yes,,3,,,,,,
Farm Fresh Bar,Hot Items,Sesame Baked Tofu,,,,,,No,,3,,,,,,
Farm Fresh Bar,Hot Items,Vegetable Special,Green Beans w/Carrots & Onions,,,,,No,Yes,3,,,,,,
Farm Fresh Bar,Hot Items,Vegetables of the Day,Roasted Veggies,,,,,Yes,Yes,3,,,,,,
Farm Fresh Bar,Hot Items,Vegetable Special,Roasted Hubbard Squash,,,,,No,Yes,3,,,,,,
Farm Fresh Bar,Hot Items,Rice of the Day,Sunflower Rice,,,,,Yes,Yes,3,"Accented with wild rice, toasted sunflower seeds and pumpkin seeds.",,,,,
Farm Fresh Bar,Hot Items,Special Grain of the Day,Quinoa w/Minced Carrot and Parsley,,,,,Yes,Yes,3,Accented with finely minced carrot and parsley,,,,,
Farm Fresh Bar,Hot Items,Kale (multiple local varieties) with Sesame Dressing,,,,,,Yes,,3,,,,,,
Farm Fresh Bar,Hot Items,Roasted Vegetables,,,,,,No,No,3,,,,,,
Farm Fresh Bar,Hot Items,Vegetable Special,Maple Ginger Glazed Carrots,,,,,Yes,Yes,3,,,,,,
