Section,Sub Section, Entry, Item,Option,Trailer,Lunch,Dinner,Published,Highlight,Price,Description,Contains Gluten,Contains Soy,Contains Dairy,Contains Nuts,Ingredients
,,,,,,,,,,,,,,,,
Daily Menu,Date,4/19/2013,,,,,,Yes,,,,,,,,
Daily Menu,Tag Line,Happy Valentine's Day,,,,,,No,,,,,,,,
,,,,,,,,,,,,,,,,
Main Features,,Chef`s Special,Enchiladas,,,Yes,No,Yes,Yes,11,,,,,,
Main Features,,Chef`s Special #2,Seitan Stroganoff,,,Yes,No,No,Yes,11,,,,,,
Main Features,,Chef`s Special #3,Seitan Pepper Steak,,,Yes,No,No,Yes,11,,,,,,
Main Features,,Soup Special,Black Eyed Pea & Veggie Soup,Cup,,Yes,No,No,Yes,4,,,,,,
Main Features,,Soup Special,Black Eyed Pea & Veggie Soup,Bowl (Comes with fresh roll),,Yes,No,No,Yes,6,,,,,,
Main Features,,Daily Homemade Soup,Red Lentil & Onion Soup,Cup,,Yes,No,Yes,Yes,4,,,,,,
Main Features,,Daily Homemade Soup,Red Lentil & Onion Soup,Bowl (Comes with fresh roll),,Yes,No,Yes,Yes,6,,,,,,
,,,,,,,,,,,,,,,,
Main Features,,Hot Chef`s Special,Red Thai Tofu,,,No,Yes,Yes,Yes,11,,,,,,
Main Features,,Cold Chef`s Special,Spring Rolls,,,No,Yes,Yes,Yes,11,,,,,,
Main Features,,Soup Special,French Onion,Cup,,No,Yes,No,Yes,4,,,,,,
Main Features,,Soup Special,French Onion,Bowl (Comes with fresh roll),,No,Yes,No,Yes,6,,,,,,
Main Features,,Daily Homemade Soup,Chilled Cantaloupe Soup,Cup,,No,Yes,Yes,Yes,4,,,,,,
Main Features,,Daily Homemade Soup,Chilled Cantaloupe Soup,Bowl (Comes with fresh roll),,No,Yes,Yes,Yes,6,,,,,,
,,,,,,,,,,,,,,,,
Main Features,,Gourmet Veggie Burger,,With 1 Farm Fresh Item,,Yes,Yes,Yes,,9.5,,,,,,
Main Features,,Gourmet Veggie Burger,,With 2 Farm Fresh Items,,Yes,Yes,Yes,,11,,,,,,
,,,,,,,,,,,,,,,,
Farm Fresh Bar,Tag Line,Mix and match any way you please!,,,,Yes,Yes,Yes,,,,,,,,
Farm Fresh Bar,Pricing,A La Carte,,,,Yes,Yes,Yes,,4,Choose any one item as A La Carte,,,,,
Farm Fresh Bar,Pricing,Choose 3,,,,Yes,Yes,Yes,,9,Choose any three items,,,,,
Farm Fresh Bar,Pricing,Choose 4,,,,Yes,Yes,Yes,,11,Choose any four items,,,,,
Farm Fresh Bar,Pricing,Choose 5,,,,Yes,Yes,Yes,,12,Choose any five items,,,,,
Farm Fresh Bar,Pricing,Sampler Plate (Fill your plate with a little of everything),,,,Yes,Yes,Yes,,12.5,Fill your plate by choosing a little of everything.  Don't miss a thing!,,,,,
,,,,,,,,,,,,,,,,
Farm Fresh Bar,Hot Items,Mashed Potatoes & Gravy,,,,Yes,Yes,No,,4,,,,,,
Farm Fresh Bar,Hot Items,Cup of Soup,Red Lentil & Onion Soup,,,Yes,No,Yes,,4,,,,,,
Farm Fresh Bar,Hot Items,Cup of Soup,Curried Gabanzo Bean Soup,,,Yes,No,No,,4,,,,,,
Farm Fresh Bar,Hot Items,Bean of the Day,Red Kidney Beans,,,Yes,No,Yes,Yes,4,,,,,,
Farm Fresh Bar,Hot Items,Thai Ginger Tofu,,,,Yes,No,Yes,,4,,,,,,
Farm Fresh Bar,Hot Items,Sesame Baked Tofu,,,,Yes,No,No,,4,,,,,,
Farm Fresh Bar,Hot Items,Vegetable Special,Braised Green Beans and Carrots,,,Yes,Yes,No,Yes,4,,,,,,
Farm Fresh Bar,Hot Items,Vegetables of the Day,Roasted Butternut Squash and Turnips,,,Yes,No,Yes,Yes,4,,,,,,
Farm Fresh Bar,Hot Items,Vegetable Special,Roasted Hubbard Squash,,,Yes,Yes,No,Yes,4,,,,,,
Farm Fresh Bar,Hot Items,Rice of the Day,Sunflower Rice,,,Yes,Yes,Yes,Yes,4,"Accented with wild rice, toasted sunflower seeds and pumpkin seeds.",,,,,
Farm Fresh Bar,Hot Items,Special Grain of the Day,Quinoa w/Minced Carrot and Parsley,,,Yes,No,Yes,Yes,4,Accented with finely minced carrot and parsley,,,,,
Farm Fresh Bar,Hot Items,Kale (featuring flowering varieties) with Sesame Dressing,,,,Yes,No,Yes,,4,,,,,,
Farm Fresh Bar,Hot Items,Roasted Vegetables,,,,Yes,No,No,No,4,,,,,,
Farm Fresh Bar,Hot Items,Vegetable Special,Maple Ginger Glazed Carrots,,,Yes,No,Yes,Yes,4,,,,,,
Farm Fresh Bar,Hot Items,Vegetable Special,Millet & Rutabaga Mash,,,Yes,Yes,No,Yes,4,,,,,,
Farm Fresh Bar,Hot Items,Specialty Potatoes,Twice Baked Potatoes,,,Yes,Yes,No,Yes,4,,,,,,
Farm Fresh Bar,Hot Items,Hot Dessert Special,Baked Apples w/Vanilla Cream Sauce,,,Yes,No,Yes,Yes,4,,,,,,
,,,,,,,,,,,,,,,,
Farm Fresh Bar,Hot Items,Sesame Baked Tofu,,,,No,Yes,Yes,,4,,,,,,
Farm Fresh Bar,Hot Items,Cup of Soup,French Onion,,,No,Yes,No,,4,,,,,,
Farm Fresh Bar,Hot Items,Cup of Soup,Chilled Cantaloupe Soup,,,No,Yes,Yes,,4,,,,,,
Farm Fresh Bar,Hot Items,Bean of the Day,Sucotash,,,No,Yes,Yes,Yes,4,,,,,,
Farm Fresh Bar,Hot Items,Vegetables of the Day,"Roasted Cauliflower, Carrots, and Turnips ",,,No,Yes,Yes,Yes,4,,,,,,
Farm Fresh Bar,Hot Items,Rice of the Day,Bhutanese Pineapple Red Rice,,,No,Yes,Yes,Yes,4,"Accented with wild rice, toasted sunflower seeds and pumpkin seeds.",,,,,
Farm Fresh Bar,Hot Items,Special Grain of the Day,Herbed Quinoa,,,No,Yes,Yes,Yes,4,Accented with finely minced carrot and parsley,,,,,
Farm Fresh Bar,Hot Items,Hot Dessert Special,Cherry Coconut Bread Pudding  ,,,No,Yes,Yes,Yes,4,,,,,,
Farm Fresh Bar,Hot Items,Hot Dessert Special,Candied Yams,,,No,Yes,Yes,Yes,4,,,,,,
,,,,,,,,,,,,,,,,
Farm Fresh Bar,Cold Items,Broccoli Edamame Salad,,,,Yes,No,No,,4,,,,,,
Farm Fresh Bar,Cold Items,Slaw Salad,Arugula & Three Cabbage Slaw w/Pinapple Lemon Dressing,,,Yes,No,Yes,Yes,4,"Spicy arugula mixed with green cabbage, Chinese cabbage, and bok choy topped with an apple lime dressing that includes coconut shreds, currants and agave.",,,,,
Farm Fresh Bar,Cold Items,Tempeh Chicken Salad,,,,Yes,No,No,No,4,,,Yes,,,
Farm Fresh Bar,Cold Items,Carrot and Raisin Salad,,,,Yes,No,No,No,4,,,,,,
Farm Fresh Bar,Cold Items,Tempeh Sloppy Joe Salad Boats,,,,Yes,No,No,Yes,4,,,Yes,,,
Farm Fresh Bar,Cold Items,Tempeh Chicken Salad,,,,Yes,No,Yes,Yes,4,,,,,,
Farm Fresh Bar,Cold Items,Beet Salad,,,,Yes,No,Yes,No,4,,,Yes,,,
Farm Fresh Bar,Cold Items,Purple Potato Salad,,,,Yes,No,No,No,4,Potato salad with homemade kimchi.  You will love this potato salad if you're a fan of kimchi and potato salad.  It's a match made in heaven.,,Yes,,,
Farm Fresh Bar,Cold Items,Kimchi Potato Salad,,,,Yes,No,Yes,No,4,,,Yes,,,
Farm Fresh Bar,Cold Items,Tofu Bok Choy Salad,,,,Yes,No,No,,4,,,,,,
Farm Fresh Bar,Cold Items,Kale Currant Salad,,,,Yes,No,Yes,,4,,,,,,
Farm Fresh Bar,Cold Items,Mixed Green Salad,,,,Yes,No,Yes,,4,,,,,,
Farm Fresh Bar,Cold Items,Mozzarella Salad ,,,,Yes,No,Yes,,4,,,,,,
Farm Fresh Bar,Cold Items,Hummus: (Selection of fresh dipping veggies & chips provided),,,,Yes,No,Yes,,4,,,,,,
Farm Fresh Bar,Cold Items,Mixed Fruit Salad,,,,Yes,No,Yes,,4,,,,,,
,,,,,,,,,,,,,,,,
Farm Fresh Bar,Cold Items,Asian Slaw w/Red Pepper,,,,No,Yes,Yes,,4,,,,,,
Farm Fresh Bar,Cold Items,Lemon Dill Couscous,,,,No,Yes,Yes,,4,,,,,,
Farm Fresh Bar,Cold Items,Fruit Salad,,,,No,Yes,Yes,,4,,,,,,
Farm Fresh Bar,Cold Items,Mixed Greens,,,,No,Yes,Yes,,4,,,,,,
Farm Fresh Bar,Cold Items,Lemon Mock Chicken Salad,,,,No,Yes,Yes,,4,,,,,,
Farm Fresh Bar,Cold Items,Kimchi Potato Salad,,,,No,Yes,Yes,,4,,,,,,
Farm Fresh Bar,Cold Items,Greek White Bean Salad,,,,No,Yes,Yes,,4,,,,,,
Farm Fresh Bar,Cold Items,Spring Roll,,,,No,Yes,Yes,,4,,,,,,
,,,,,,,,,,,,,,,,
To Go Cooler,Tag Line,"All Items are available to go or can be found in our to-go cooler
",,,,Yes,Yes,Yes,,,,,,,,
,,,,,,,,,,,,,,,,
Kids Meals,,Kids 3 Side Sampler (Choose any 3 from our Farm Fresh Bar),,,,Yes,Yes,Yes,,5.25,,,,,,
Kids Meals,,*Beans & Rice ,,,,Yes,Yes,Yes,,4.25,,,,,,
Kids Meals,,*Hummus Sandwich ,,,,Yes,Yes,Yes,,4.25,,,,,,
Kids Meals,,"*Classic ""PB&J"" Sandwich made with Sunflower Butter",,,,Yes,Yes,Yes,,4.25,,,,,,
Kids Meals,,*Grilled Cheese ,,,"*Choose a side: apple sauce, yogurt stick, veggies & hummus, rice, <br>or any item from our Farm Fresh Bar",Yes,Yes,Yes,,4.25,,,,,,
,,,,,,,,,,,,,,,,
Drinks,,Kombucha ON TAP ,,,,Yes,Yes,Yes,,3.75,,,,,,
Drinks,,Oogave Soda Fountain ,,,,Yes,Yes,Yes,,2.75,,,,,,
Drinks,,Iced Tea ,,,,Yes,Yes,Yes,,2.75,,,,,,
Drinks,,Fruit Tea,,,,Yes,Yes,Yes,,2.75,,,,,,
Drinks,,Reeds Ginger Ale,,,,Yes,Yes,Yes,,2.5,,,,,,
Drinks,,Bottled Water ,,,,Yes,Yes,Yes,,1.75,,,,,,
Drinks,,Perrier,,,,Yes,Yes,Yes,,2.5,,,,,,
Drinks,,Coconut Water ,,,,Yes,Yes,Yes,,3,,,,,,
Drinks,,Kids Milk or Juice Box,,,,Yes,Yes,Yes,,1.5,,,,,,
Drinks,,Hot Tea ,,,,Yes,Yes,Yes,,1.5,,,,,,
,,,,,,,,,,,,,,,,
Desserts,,Fruit cup,,,,Yes,Yes,Yes,,3,,,,,,
Desserts,,Sunflower Rice Crispy Treats,,Snack Size,,Yes,Yes,Yes,,2.5,,,,,,
Desserts,,Sunflower Rice Crispy Treats,,Family Pack,,Yes,Yes,Yes,,8,,,,,,
Desserts,,Chocolate Chip Cookie ,,,,Yes,Yes,Yes,,2.5,,,,,,
Desserts,,Brownie,,,,Yes,Yes,Yes,,3,,,,,,
Desserts,,Sunflower Cookie ,,Plain ,,Yes,Yes,Yes,,1,,,,,,
Desserts,,Sunflower Cookie ,,Frosted,,Yes,Yes,Yes,,1.5,,,,,,
Desserts,,Chocolate Mousse,,,,Yes,Yes,Yes,,3.5,,,,,,
Desserts,,Baked Apple Crisp,,,,Yes,Yes,No,Yes,3.5,,,,,,
Desserts,,Specialty Pudding,Banana Pudding (gluten free),,,Yes,Yes,No,Yes,3.5,,,Yes,,,
Desserts,,Kabocha Squash Pudding,,,,Yes,Yes,No,Yes,3.5,,,,,,
Desserts,,Homemade Granola,,Bag,,Yes,Yes,Yes,,3,,,,,,
Desserts,,Homemade Granola,,Jar,,Yes,Yes,Yes,,5,,,,,,
Desserts,,Homemade Popsicles,,,,Yes,Yes,Yes,,3,,,,,,
Desserts,,Specialty Chips,,,,Yes,Yes,Yes,,2,,,,,,
,,,,,,,,,,,,,,,,
Other,,Vegan Cheese,,,,Yes,Yes,Yes,,1.5,,,,,,
Other,,Organic Dairy Cheese,,,,Yes,Yes,Yes,,1.5,,,,,,
Other,,Roll,,,,Yes,Yes,Yes,,1,,,,,,
Other,,Homemade Sauce,,,,Yes,Yes,Yes,,0.75,,,,,,
Other,,Kimchi (When available),,,,Yes,Yes,Yes,,2,,,,,,
